mean,std,skew,kurt,label
-2.525690,9.884733,0.098214,3.746291,1
-2.581786,11.179201,0.030670,23.201993,1
-2.928226,10.038429,0.308807,5.423516,1
-2.337164,9.796209,0.343209,3.895076,1
-2.323735,10.282441,0.275686,3.810789,1
-2.611618,11.382693,3.948288,73.362075,1
-3.221502,10.184846,-0.110174,6.119144,1
-2.907744,9.393294,-0.131186,3.789705,1
-2.814393,10.077045,0.392674,5.808981,1
-2.456676,10.802304,-0.147111,18.367327,1
-2.744642,10.050395,-0.609651,8.393144,1
-2.639789,9.712134,0.149069,4.219111,1
-2.736502,11.141101,-0.894473,23.569924,1
-2.854026,10.621275,-0.005612,11.799116,1
-2.513511,10.178707,0.024560,5.173092,1
-2.362977,9.775440,0.275683,3.515267,1
-2.532886,10.477107,-0.455280,11.970261,1
-2.604360,10.209820,-0.471126,7.025651,1
-2.764796,9.655182,0.161287,4.052204,1
-2.641245,9.698120,0.214384,4.166810,1
-2.471767,11.437020,4.605667,81.875127,1
-2.408741,10.453673,0.783055,16.579853,1
-1.060397,9.673750,0.271001,3.476244,1
-1.142984,11.149938,-2.514943,44.553503,1
-1.350413,9.741019,0.382754,4.951624,1
-1.282056,9.777429,-0.160068,3.717113,1
-0.819076,10.027519,0.397314,3.888053,1
-1.094063,10.549645,-1.067278,17.064719,1
-1.084345,10.489071,0.140881,4.652921,1
-1.083607,9.492765,0.199873,4.298364,1
-1.198732,9.517507,0.127347,3.579179,1
-1.114895,11.116428,-1.324784,21.042712,1
-1.012953,10.945129,1.134052,15.752131,1
-1.035691,9.719966,0.104387,3.598058,1
-0.982301,9.900191,0.029989,4.118231,1
-1.080941,10.457268,-1.089735,17.387611,1
-0.898628,10.208490,0.417583,4.000451,1
-0.921325,9.805340,0.251299,3.698217,1
-1.154240,9.804049,-0.015878,3.471836,1
-0.871564,11.115712,-2.263660,35.278927,1
-1.263849,10.247940,1.103800,12.701881,1
-1.125290,9.429630,0.122059,4.073474,1
-1.337824,10.243259,0.130811,4.210454,1
-1.289499,10.215191,-1.295053,17.135964,1
-0.878597,10.105282,0.347618,4.325534,1
-1.153809,10.092138,0.028263,3.906274,1
-0.654109,10.375332,0.468264,4.256747,1
-0.610068,10.920253,0.672956,15.273486,1
-1.167792,10.019975,0.142179,3.762034,1
-0.940167,9.678036,0.334344,3.914999,1
