mean,std,skew,kurt,label
0.690503,9.194620,0.344734,4.254280,0
0.518400,9.538313,0.269208,3.547897,0
0.715496,9.379507,0.026844,3.427537,0
-0.127529,9.526746,0.020897,4.275632,0
0.298997,12.609287,-0.223692,8.948237,0
-0.111987,9.257130,0.050528,3.696102,0
0.365796,9.241709,0.125904,4.018531,0
0.888255,9.518159,0.518283,3.621717,0
0.587065,9.805600,0.256535,4.241487,0
0.199495,9.461556,-0.071741,3.562224,0
0.387221,9.962292,0.132808,4.053657,0
0.224817,11.429457,0.691916,11.220997,0
-0.144505,10.224824,-0.245056,4.756065,0
-0.122485,9.510803,-0.002568,3.533946,0
-0.045865,9.667944,0.158006,4.340783,0
1.030259,9.542233,0.274796,4.399312,0
0.098559,9.578770,0.039908,4.019387,0
-0.641074,9.424356,-0.049583,3.414322,0
0.699278,9.780558,0.474539,3.937381,0
0.462529,9.561014,0.122210,4.031488,0
0.141636,9.338660,0.142832,3.913884,0
0.928256,9.929995,0.268963,4.327570,0
-0.176428,10.791991,-0.082159,4.087138,0
0.732493,9.446203,0.080799,4.289220,0
0.258524,9.152240,0.017013,3.635322,0
0.068850,9.157225,0.231254,3.656078,0
0.646893,9.300133,0.166484,3.721078,0
0.332540,9.332613,0.288842,3.948575,0
0.341233,9.543088,0.310927,4.042316,0
-0.473497,11.199116,-0.072756,8.928813,0
0.320135,9.633088,0.088687,3.534066,0
0.194759,9.272717,0.412610,4.119581,0
0.628583,9.410735,0.194432,4.727024,0
0.480244,9.556833,0.359234,3.570545,0
0.611627,9.140099,0.082546,3.735242,0
0.324769,9.434183,0.036611,3.545106,0
0.053596,11.118158,0.431793,5.640334,0
-0.048715,9.885964,0.131930,3.430063,0
-0.233898,9.318161,0.066208,4.245836,0
0.536340,9.615437,0.100829,4.212995,0
0.372480,9.286334,0.077369,4.231699,0
0.575419,9.695947,0.070867,3.707133,0
-0.233960,9.866527,0.174563,3.863293,0
0.357738,11.001430,-0.082906,6.025511,0
-0.096179,9.794524,0.215482,4.792539,0
0.412707,9.299528,0.213026,4.194890,0
-0.007155,9.656493,0.315750,4.286189,0
0.531088,9.159578,-0.269559,5.014421,0
-0.009759,11.061376,0.219791,6.629882,0
0.186619,9.597302,-0.245766,3.812811,0
0.278350,9.612248,0.285651,4.200754,0
0.336702,9.121428,0.612994,4.195014,0
0.288110,9.099207,-0.045012,3.603221,0
-0.021118,9.546352,0.346563,3.972096,0
0.166834,9.968173,0.140894,4.492755,0
0.734666,10.312390,0.459583,5.089083,0
0.575152,9.574448,0.192398,3.872054,0
0.102536,9.471756,0.172084,3.934017,0
-0.363662,9.798165,0.129835,3.764637,0
