mean,std,skew,kurt,label
2.471091,8.753661,-0.162934,3.917677,2
2.406876,8.647233,0.257759,5.032022,2
3.175187,8.921783,0.275127,4.739208,2
2.424180,9.201919,0.020914,4.361861,2
2.889764,9.037466,0.101237,4.054511,2
2.663369,9.217761,0.033917,4.213721,2
3.386676,8.169732,0.437725,4.571536,2
2.896427,8.737216,0.152138,4.426740,2
2.325663,8.920771,0.104272,4.126412,2
2.611086,9.061199,0.259906,4.027942,2
2.578671,9.159668,-0.167017,4.317365,2
2.869445,8.598664,0.346249,4.194144,2
2.692258,8.940040,0.205748,4.610835,2
2.358283,8.837988,0.060600,4.434053,2
2.733592,8.625931,0.099055,4.203539,2
2.956050,8.870065,-0.016600,4.473195,2
2.339995,8.999275,0.015507,4.115844,2
2.676532,8.774360,0.125606,4.633917,2
3.115523,8.517301,0.365082,4.759746,2
2.758237,9.083789,0.013273,4.162183,2
2.535266,9.052570,-0.147717,4.448720,2
2.366259,9.207068,-0.201530,5.431867,2
2.265302,8.754600,-0.062948,5.236615,2
2.719486,8.907322,0.290622,4.397921,2
3.233810,8.962576,0.141411,4.031599,2
0.176060,9.171618,0.018980,4.571160,2
0.147110,9.946520,0.241168,5.135778,2
0.462550,8.966224,-0.042954,4.748823,2
0.157136,9.004342,0.065246,4.194579,2
-0.331062,9.635786,0.255503,4.789410,2
0.055830,8.815550,0.156454,3.639071,2
0.089619,9.416485,0.189672,4.400637,2
0.504991,9.412247,0.457968,4.249899,2
0.372152,9.585893,0.077083,4.701160,2
0.111045,8.765809,0.141011,4.096198,2
0.157526,9.504633,0.100442,4.449113,2
0.260266,9.339953,0.293491,4.462459,2
-0.087363,8.871665,0.146835,4.403783,2
0.225965,9.460798,0.085742,4.074960,2
0.332806,9.282574,0.193382,3.954602,2
0.585568,9.073638,0.262115,3.945273,2
0.084637,8.966567,0.025539,4.599870,2
0.116991,9.705872,0.097248,4.555083,2
0.437003,9.148263,0.161995,5.043042,2
0.261025,9.544452,0.085206,4.208076,2
0.317490,9.471606,-0.100192,4.249831,2
0.191848,9.102215,-0.048720,4.694307,2
0.250322,9.482581,0.135855,4.140419,2
0.144383,9.385465,0.366746,4.816625,2
0.720704,9.514945,0.396418,4.405388,2
0.712174,9.595764,0.023396,4.842811,2
0.682014,10.660392,0.054307,7.378511,2
0.554526,9.385825,-0.015128,4.090517,2
0.145470,9.159652,0.087039,4.662846,2
0.078989,8.729272,-0.030413,4.426827,2
1.734191,9.625040,0.171722,7.623363,2
1.799083,9.916534,0.433338,3.649748,2
1.633069,9.547132,0.158209,3.551893,2
1.842795,10.653231,0.172263,8.877822,2
1.600654,10.008991,0.227102,3.843648,2
1.398371,9.716505,0.024571,4.051572,2
1.156209,9.604310,-0.032517,4.117332,2
1.496519,10.713441,0.174803,9.665591,2
1.388980,10.512054,-1.400571,22.103503,2
1.637191,10.402672,0.100884,3.269231,2
1.449177,9.608980,0.061522,3.985881,2
1.740218,10.665253,0.549511,12.524691,2
1.413912,10.770355,1.280826,27.386792,2
1.681477,9.509473,0.267867,3.979118,2
1.307727,9.662423,0.218130,3.785427,2
1.489876,10.642437,0.389541,9.002034,2
1.580172,10.297873,0.026983,5.609721,2
1.493505,9.841859,0.016379,3.677277,2
1.645986,9.929244,0.153159,4.053308,2
1.433657,10.512807,-0.209929,14.632760,2
1.244516,9.762714,-0.558743,7.452555,2
1.440669,9.681501,0.121752,3.568213,2
1.365956,9.426116,0.165373,4.449002,2
1.617918,10.413938,-0.792584,10.887970,2
1.395111,11.170570,-1.223276,29.419966,2
1.426973,9.921223,0.055570,4.416857,2
1.238221,9.754109,0.046327,3.630751,2
1.580807,10.229249,0.765951,12.067894,2
1.442986,9.813818,0.991419,15.053764,2
1.133807,10.630948,0.362388,7.156659,2
2.389386,9.691464,0.431825,3.664328,2
2.171951,10.381391,1.268640,16.122910,2
1.820611,10.349299,0.476368,5.190791,2
1.784157,9.528609,0.064220,4.314842,2
2.374850,10.314184,0.331818,3.613797,2
1.864262,9.428554,-0.064457,5.829239,2
1.763879,9.966793,-0.791114,13.242447,2
2.117721,9.977236,0.111350,3.482860,2
2.041552,9.438783,-0.039315,3.770787,2
1.946069,10.274785,0.441595,5.306829,2
2.336468,10.581689,3.267825,46.233997,2
1.444011,9.199823,-0.224232,4.115042,2
2.309588,10.259481,0.098993,3.591293,2
2.462090,10.003911,0.100005,3.605607,2
1.744135,10.778434,0.725004,19.230123,2
1.676987,9.480274,0.124147,5.864417,2
1.452827,9.545406,-0.491450,5.026852,2
1.478845,9.895812,-0.288804,4.451799,2
2.803077,10.281799,-0.257288,9.778610,2
2.202378,9.703516,0.497430,3.540927,2
1.933214,9.496997,-0.047463,4.186586,2
2.077617,9.881079,0.294018,3.543776,2
2.182777,11.339723,-0.101305,54.967018,2
1.712826,10.285746,0.275420,4.669553,2
2.609651,9.492434,0.205357,3.455670,2
1.665300,9.188814,-0.222933,4.290829,2
2.158071,11.039535,1.638585,23.945334,2
1.960339,10.664792,-0.161341,5.866989,2
2.098263,9.911523,0.081515,3.699514,2
2.239794,9.406662,0.078787,3.912774,2
2.014262,9.956876,0.458830,8.359950,2
2.335033,9.380722,0.103868,3.879838,2
2.857287,9.498411,0.319499,3.844613,2
2.343357,10.001710,0.235193,5.020887,2
2.895833,10.140424,0.353146,3.408371,2
2.638786,9.948978,0.375483,3.640798,2
2.982109,9.399951,0.246334,3.804146,2
2.600650,10.114153,-0.604648,10.148876,2
2.843837,10.128134,0.360009,3.736511,2
2.288696,9.670470,0.164230,3.961532,2
2.012212,9.487940,0.028976,4.102163,2
2.492599,9.688675,0.198358,6.228982,2
2.608134,10.659875,-0.843306,22.753999,2
2.335422,9.888214,0.120693,3.670003,2
1.888886,9.128597,-0.146253,4.268922,2
2.664681,9.621639,0.204041,4.082562,2
1.942174,10.298844,-0.753424,17.283801,2
2.660109,9.994215,0.219698,3.743781,2
2.380201,9.584478,0.092735,3.944236,2
3.166760,9.552540,-0.019817,3.417603,2
2.361338,10.508349,-0.721738,10.397971,2
2.975015,10.164510,0.234597,5.866208,2
2.491389,9.529478,0.191230,3.876330,2
2.814927,9.837598,0.146185,3.693427,2
2.425205,10.718432,-1.551221,20.280049,2
2.680099,9.947877,0.035076,4.149308,2
2.871659,9.487816,0.286915,3.883733,2
3.048293,9.580978,-0.077617,3.700311,2
3.218653,11.084585,-2.186347,33.371026,2
2.651505,9.385313,0.172655,3.248031,2
3.068304,9.487547,-0.024523,3.867705,2
3.146934,10.329625,0.660907,7.261988,2
3.272310,9.518998,0.356268,8.847846,2
2.541950,9.460102,-0.156049,3.895985,2
2.929068,9.532970,0.251458,3.981048,2
3.520356,9.635238,0.476265,4.903543,2
3.040051,9.893082,-0.530928,8.185141,2
3.215783,9.997856,0.182972,3.483260,2
3.323239,9.889799,0.200713,3.947480,2
3.152715,9.384597,0.190710,4.148358,2
2.732956,10.606086,1.482742,22.785098,2
3.555724,9.731065,0.363335,3.522630,2
3.304766,9.728228,0.096898,3.771604,2
3.192717,9.673826,0.212930,3.917793,2
2.641103,9.897112,-0.849740,11.677467,2
2.868830,9.813084,-0.117864,4.830406,2
3.504897,9.462184,0.119558,3.788650,2
2.944138,9.475759,-0.116395,3.960911,2
2.742039,10.289149,0.176763,7.246938,2
3.206659,9.810023,0.414702,3.935231,2
3.072487,9.304162,0.153648,4.092445,2
3.273478,9.599509,0.291930,4.154684,2
3.010629,10.386577,1.149706,18.982977,2
3.150214,10.069790,-0.879360,12.479546,2
2.913076,9.462696,0.214219,3.638904,2
2.703493,9.493743,0.013246,4.138289,2
2.820053,9.851376,-0.029585,4.321469,2
3.078474,9.891979,-0.467117,9.158793,2
3.063814,9.707987,0.243094,4.245561,2
3.389196,9.218070,-0.095131,4.108636,2
3.069391,9.542788,-0.239901,4.639425,2
3.104164,9.528087,0.034391,4.194844,2
3.830383,10.031864,0.244008,11.893788,2
3.059344,10.617329,-2.519467,37.053323,2
3.473117,9.595084,0.147954,3.825238,2
3.438180,9.332168,0.314808,4.384500,2
3.569297,9.476046,0.130856,3.824760,2
2.838157,9.799663,0.323234,3.164933,2
3.433771,9.796102,0.118126,3.435224,2
3.361519,9.405679,0.163078,3.907970,2
3.606120,9.798617,0.197232,3.741981,2
3.697072,10.147683,-0.424852,10.711909,2
3.020758,9.372291,0.010987,3.884991,2
3.516645,9.680978,0.388273,3.941444,2
2.781754,9.472047,0.022320,3.729127,2
3.398117,9.524741,0.011715,6.278855,2
3.228372,9.747612,0.165177,3.836348,2
2.932656,9.330997,0.060238,4.106749,2
2.688178,9.622621,0.059771,4.025378,2
3.543360,10.385877,0.544781,9.327369,2
3.405354,9.254415,0.258337,3.834996,2
3.724935,9.685362,0.194703,3.547597,2
3.687066,9.407771,0.240603,3.972369,2
3.143223,9.690019,0.156863,3.749623,2
3.662524,9.812258,0.012248,7.410165,2
3.795097,9.421044,0.301893,3.740247,2
3.001915,9.449007,-0.043893,4.450658,2
3.176171,9.598795,0.066386,4.112005,2
3.669659,10.127649,0.483070,7.386784,2
4.038344,9.635312,0.402398,3.716285,2
0.714020,10.277926,1.052672,25.163826,2
0.839621,9.414783,0.339136,4.123637,2
0.849873,9.287439,0.208774,3.725498,2
0.340966,11.018536,0.879177,18.690366,2
0.445060,9.894185,-0.405777,5.234378,2
0.462345,9.457117,-0.066050,3.133509,2
0.326717,9.207290,0.218747,3.916978,2
0.374304,11.906673,-4.089385,56.792291,2
