mean,std,skew,kurt,label
-2.815849,8.690522,0.284627,3.913896,1
-0.722794,9.226878,0.117205,3.55928,1
-0.227399,9.171809,0.125953,4.945691,2
0.102536,9.471756,0.172084,3.934017,0
2.007886,8.940634,0.442101,4.059259,2
0.971846,8.873866,0.172502,3.574831,1
0.549749,8.952931,0.552705,4.897506,2
0.959359,9.310422,-0.185991,4.831389,2
-1.142984,11.149938,-2.514943,44.553503,1
1.470398,10.225574,0.678948,9.981025,2
1.314206,8.695191,0.063644,4.488348,2
1.431791,11.551184,-0.301416,8.252369,2
2.680099,9.947877,0.035076,4.149308,2
0.460971,8.963059,0.409154,4.570514,2
1.275147,9.655355,0.027499,4.160641,0
2.703493,9.493743,0.013246,4.138289,2
1.025625,8.984299,0.312484,4.445288,2
3.257404,9.361772,0.230472,3.769296,2
0.752299,10.54191,1.959827,26.16086,2
1.405649,8.71849,0.192978,3.80209,0
0.671168,9.302197,0.11894,3.758884,0
2.161597,10.002699,0.452297,7.339367,2
0.33131,9.608724,-0.007884,4.216097,2
0.684065,9.879136,0.262559,4.006395,0
-0.463594,8.97754,-0.066874,3.614712,1
-1.103884,11.930337,-4.123217,90.337162,1
-0.610068,10.920253,0.672956,15.273486,1
0.670674,9.659938,-0.054119,3.806105,2
3.024038,9.499395,0.110631,3.16888,2
1.625934,9.554883,-0.03063,4.340872,2
1.402841,8.83433,0.045987,3.099222,0
2.281766,9.364438,0.170189,4.087814,2
0.616179,9.446844,0.432051,4.624847,2
0.760951,9.569286,0.105322,3.78861,0
1.570494,9.077624,0.069638,4.203423,1
-1.199039,8.840764,0.321936,4.020354,1
1.627964,9.209296,0.099578,4.603787,2
1.676597,9.692612,0.005466,3.554831,2
0.573799,9.86874,0.205839,3.469509,2
3.090776,9.721483,0.165031,4.16607,2
1.593294,9.530281,0.586736,4.506224,2
3.518162,9.998468,0.346777,3.325952,2
0.843497,9.131742,0.119841,4.800418,2
3.947763,9.727217,0.103309,3.839686,2
0.387221,9.962292,0.132808,4.053657,0
0.279478,9.29458,0.337638,4.168779,1
-1.535371,8.88323,0.207211,4.73626,1
-2.941307,11.244335,-0.125727,14.928593,1
-2.870961,9.104614,0.324103,4.191974,1
2.354101,9.485091,-0.026355,4.002407,2
1.219687,9.338274,0.194524,3.434392,2
0.924176,8.705571,0.072643,4.031988,1
0.732493,9.446203,0.080799,4.28922,0
2.751723,9.785212,-0.005748,3.673332,2
0.933587,9.532784,-0.076401,3.451618,2
1.510912,10.100807,0.340607,5.165073,2
0.734666,10.31239,0.459583,5.089083,0
-3.275343,8.950804,0.093078,3.821346,1
-1.556592,9.318282,0.109692,3.582312,1
1.875518,9.167017,0.179868,4.629377,2
2.872418,9.5756,0.066278,3.694563,1
-3.162125,9.01059,0.070864,4.192289,1
1.416414,9.62596,0.09129,4.038269,2
2.947685,9.429918,0.343837,3.860715,2
0.29506,9.312021,0.000678,4.200137,2
1.962636,9.306408,0.026905,3.789672,2
2.182777,11.339723,-0.101305,54.967018,2
2.602495,9.364311,0.086898,4.460383,2
1.091809,9.305069,0.270869,3.456909,1
-3.024386,9.092595,0.130886,4.326457,1
-1.717274,9.238988,0.247092,5.015323,1
-2.323735,10.282441,0.275686,3.810789,1
3.190175,8.836157,0.31396,3.154191,1
0.258524,9.15224,0.017013,3.635322,0
0.616323,9.702361,0.071302,3.943402,0
1.317732,8.821141,0.505948,3.521732,1
1.959868,9.729176,-0.016023,4.698087,2
2.66058,9.974758,0.147243,3.737498,1
1.437429,8.748198,0.231852,3.89244,0
0.557561,10.120031,0.033721,3.702113,0
1.460803,9.553216,-0.040477,3.775264,2
1.399909,9.175436,0.512401,3.624967,1
1.726194,8.790581,0.092496,4.649279,1
2.271289,9.263614,0.189863,3.893795,1
-1.381516,10.561182,0.392763,12.164298,2
0.888255,9.518159,0.518283,3.621717,0
-2.789154,8.640238,0.200951,4.036844,1
3.472645,9.434392,0.381592,4.00388,2
1.63147,8.705225,0.081536,3.391275,1
0.663562,9.165715,0.132231,3.715272,2
0.715496,9.379507,0.026844,3.427537,0
1.822538,9.37707,0.390604,6.226485,2
3.468975,9.817049,0.086192,3.931799,2
2.445729,11.134338,1.826,24.085191,2
3.262509,9.165609,0.248498,3.947046,1
1.201049,9.087855,-0.061906,5.128715,2
-3.369924,9.346767,0.029309,4.345811,1
2.995785,9.824324,0.329489,3.786914,2
